User ID,Email,First Name,Last Name,Department,Title,Location,Campaign Name,Template,Sent Date,Opened,Clicked,Replied,Attachment Opened,Macro Enabled,Data Entered,Reported,Time to Click (seconds),Time to Report (seconds),IP Address,Browser,Operating System,Delivery Status,Difficulty,Phish-prone Percentage,Current Risk Score,Previous Training Completed,Training Completion Date,Groups,Manager Email,Employee ID,Hire Date,Active Directory,Division,Cost Center,Custom Field 1,Custom Field 2,Baseline Test Score,Last Training Score,Security Awareness Proficiency,Risk Level,Failure Count (12 months),Success Count (12 months),Last Failure Date,Campaign Type,Industry Template,Language,Time Zone,Mobile Device,VPN Connection,Two Factor Enabled,Password Manager
EMP_0079,emp_0079@company.com,User0079,LastName079,Marketing,Employee,London,Q3 2025 - System Maintenance,System Maintenance,02/23/2025 17:14,True,True,False,False,False,False,False,100.0,,192.168.85.189,Firefox,Windows 10,Delivered,Low,24.6,38.3,False,,Marketing - London,manager_marketing@company.com,EMP_0079,11/07/2023,True,Europe,CC-4199,Level 1,On-site,76,,Intermediate,High,6,3,10/15/2024,Phishing,Financial,Spanish,EST,False,False,False,True
EMP_1189,emp_1189@company.com,User1189,LastName189,Finance,Employee,London,Q1 2025 - Document Share,Document Share,01/19/2025 17:14,True,True,False,False,False,True,False,39.0,,192.168.59.32,Firefox,Windows 10,Delivered,High,8.3,66.8,True,02/13/2024,Finance - London,manager_finance@company.com,EMP_1189,01/14/2024,True,Europe,CC-3365,Level 2,On-site,83,93.0,Novice,Low,4,9,01/02/2025,Phishing,Generic,English,GMT,False,False,False,False
EMP_0762,emp_0762@company.com,User0762,LastName762,HR,Manager,Chicago,Q1 2025 - Meeting Invitation,Meeting Invitation,06/21/2025 17:14,False,False,False,False,False,False,False,,,192.168.49.52,Edge,Windows 10,Delivered,Low,7.7,77.1,True,06/27/2022,HR - Chicago,manager_hr@company.com,EMP_0762,05/28/2022,True,North America,CC-6882,Level 3,Hybrid,65,89.0,Advanced,Low,5,9,,Phishing,Generic,English,JST,True,True,True,True
EMP_0611,emp_0611@company.com,User0611,LastName611,HR,Manager,Frankfurt,Q2 2024 - System Maintenance,System Maintenance,09/02/2024 17:14,True,False,False,False,False,False,False,,,192.168.247.122,Chrome,Windows 10,Delivered,Medium,17.0,88.2,True,01/06/2022,HR - Frankfurt,manager_hr@company.com,EMP_0611,12/07/2021,True,Europe,CC-8607,Level 2,On-site,78,94.0,Intermediate,Medium,2,3,,Phishing,Technology,French,PST,True,False,True,False
EMP_0492,emp_0492@company.com,User0492,LastName492,Operations,Employee,San Francisco,Q4 2024 - Financial Request,Financial Request,09/01/2024 17:14,True,False,False,False,False,False,False,,,192.168.46.237,Chrome,Windows 11,Delivered,Low,17.9,81.3,True,01/05/2024,Operations - San Francisco,manager_operations@company.com,EMP_0492,12/06/2023,True,Asia-Pacific,CC-1001,Level 2,Hybrid,76,74.0,Intermediate,Medium,5,10,,Phishing,Financial,English,PST,True,True,True,True
EMP_0461,emp_0461@company.com,User0461,LastName461,Legal,Employee,London,Q1 2025 - HR Communication,HR Communication,06/02/2025 17:14,True,True,False,False,False,False,False,31.0,,192.168.157.154,Firefox,Windows 11,Delivered,High,9.2,65.6,True,07/08/2024,Legal - London,manager_legal@company.com,EMP_0461,06/08/2024,True,North America,CC-3728,Level 3,On-site,62,95.0,Advanced,Low,1,12,02/18/2025,Phishing,Financial,English,PST,False,True,True,False
EMP_0126,emp_0126@company.com,User0126,LastName126,HR,Employee,Frankfurt,Q3 2025 - Account Verification,Account Verification,01/27/2025 17:14,True,False,False,False,False,False,False,,,192.168.64.238,Chrome,Windows 10,Delivered,Low,30.0,70.1,True,06/20/2021,HR - Frankfurt,manager_hr@company.com,EMP_0126,05/21/2021,True,Europe,CC-8366,Level 1,On-site,84,92.0,Intermediate,High,7,11,,Phishing,Financial,Spanish,JST,True,True,True,True
EMP_1144,emp_1144@company.com,User1144,LastName144,Legal,Manager,New York,Q3 2024 - Account Verification,Account Verification,10/07/2024 17:14,True,True,False,False,False,True,False,16.0,,192.168.45.82,Chrome,macOS,Delivered,Low,16.9,52.7,True,07/06/2021,Legal - New York,manager_legal@company.com,EMP_1144,06/06/2021,True,Europe,CC-8162,Level 3,On-site,68,82.0,Advanced,Medium,2,13,02/04/2024,Phishing,Technology,English,PST,False,False,True,False
EMP_0450,emp_0450@company.com,User0450,LastName450,Marketing,Employee,London,Q4 2025 - Security Alert,Security Alert,04/26/2025 17:14,True,False,False,False,False,False,True,,232.0,192.168.117.118,Firefox,Windows 11,Delivered,Medium,15.1,100.0,True,12/29/2021,Marketing - London,manager_marketing@company.com,EMP_0450,11/29/2021,True,North America,CC-7965,Level 2,Remote,84,79.0,Intermediate,Medium,7,11,,Phishing,Healthcare,English,JST,False,False,True,True
EMP_0199,emp_0199@company.com,User0199,LastName199,Legal,Manager,Sydney,Q4 2024 - Meeting Invitation,Meeting Invitation,12/10/2024 17:14,False,False,False,False,False,False,False,,,192.168.161.13,Firefox,Windows 11,Delivered,Low,12.4,69.5,False,,Legal - Sydney,manager_legal@company.com,EMP_0199,05/20/2020,True,North America,CC-8067,Level 2,Hybrid,68,,Advanced,Medium,6,14,,Phishing,Financial,English,PST,True,False,True,False
EMP_0078,emp_0078@company.com,User0078,LastName078,Legal,Employee,London,Q1 2025 - Security Alert,Security Alert,03/31/2025 17:14,True,False,False,False,False,False,True,,20.0,192.168.71.224,Edge,Windows 10,Delivered,Low,24.7,64.1,True,07/06/2020,Legal - London,manager_legal@company.com,EMP_0078,06/06/2020,True,Asia-Pacific,CC-7500,Level 3,On-site,64,80.0,Advanced,High,7,4,,Phishing,Healthcare,Spanish,EST,False,True,True,True
EMP_1173,emp_1173@company.com,User1173,LastName173,HR,Employee,Chicago,Q3 2025 - Financial Request,Financial Request,03/26/2025 17:14,True,False,False,False,False,False,True,,55.0,192.168.169.10,Firefox,Windows 10,Delivered,High,9.3,85.8,False,,HR - Chicago,manager_hr@company.com,EMP_1173,11/23/2022,True,Asia-Pacific,CC-4840,Level 3,Hybrid,72,,Intermediate,Low,1,6,,Phishing,Technology,English,GMT,False,False,True,True
EMP_0307,emp_0307@company.com,User0307,LastName307,HR,Manager,Frankfurt,Q4 2025 - Survey Request,Survey Request,03/26/2025 17:14,True,False,False,False,False,False,True,,26.0,192.168.221.106,Chrome,Windows 11,Delivered,Medium,15.0,96.1,True,04/15/2021,HR - Frankfurt,manager_hr@company.com,EMP_0307,03/16/2021,True,North America,CC-4732,Level 2,Hybrid,79,93.0,Advanced,Medium,6,10,,Phishing,Financial,Spanish,EST,False,True,False,True
EMP_1075,emp_1075@company.com,User1075,LastName075,Legal,Admin,San Francisco,Q4 2025 - Financial Request,Financial Request,03/01/2025 17:14,True,False,False,False,False,False,False,,,192.168.18.184,Firefox,Windows 10,Delivered,Medium,13.2,85.9,True,05/11/2024,Legal - San Francisco,manager_legal@company.com,EMP_1075,04/11/2024,True,Europe,CC-3330,Level 2,Hybrid,91,79.0,Intermediate,Medium,0,12,,Phishing,Generic,English,PST,False,False,True,False
EMP_0258,emp_0258@company.com,User0258,LastName258,Finance,Employee,New York,Q4 2024 - Account Verification,Account Verification,07/20/2024 17:14,True,False,False,False,False,False,False,,,192.168.30.172,Chrome,Windows 10,Bounced,Low,8.4,85.9,True,01/25/2024,Finance - New York,manager_finance@company.com,EMP_0258,12/26/2023,True,Europe,CC-4257,Level 2,Remote,72,77.0,Novice,Low,3,11,,Phishing,Generic,English,PST,False,True,True,False
EMP_1017,emp_1017@company.com,User1017,LastName017,R&D,Manager,Frankfurt,Q4 2024 - Survey Request,Survey Request,07/20/2024 17:14,False,False,False,False,False,False,True,,343.0,192.168.108.156,Chrome,macOS,Delivered,Medium,11.9,97.8,True,07/13/2023,R&D - Frankfurt,manager_r&d@company.com,EMP_1017,06/13/2023,True,Asia-Pacific,CC-6092,Level 3,Hybrid,85,93.0,Advanced,Medium,7,13,,Vishing,Healthcare,French,EST,True,False,True,True
EMP_0655,emp_0655@company.com,User0655,LastName655,HR,Manager,New York,Q4 2025 - Software Update,Software Update,06/29/2025 17:14,True,False,False,False,False,False,True,,176.0,192.168.26.189,Chrome,Windows 10,Delivered,High,4.6,100.0,True,12/14/2024,HR - New York,manager_hr@company.com,EMP_0655,11/14/2024,True,North America,CC-2008,Level 3,On-site,72,92.0,Advanced,Low,7,14,,Smishing,Technology,English,EST,False,True,True,True
EMP_0353,emp_0353@company.com,User0353,LastName353,R&D,Employee,Frankfurt,Q1 2025 - Survey Request,Survey Request,02/07/2025 17:14,True,False,False,False,False,False,False,,,192.168.78.75,Edge,Windows 10,Delivered,Medium,11.4,69.6,True,10/29/2021,R&D - Frankfurt,manager_r&d@company.com,EMP_0353,09/29/2021,True,North America,CC-2223,Level 1,On-site,69,80.0,Novice,Medium,6,7,,Phishing,Generic,English,GMT,True,False,False,True
EMP_0804,emp_0804@company.com,User0804,LastName804,R&D,Employee,Tokyo,Q2 2025 - IT Support,IT Support,04/09/2025 17:14,True,False,False,False,False,False,False,,,192.168.247.226,Firefox,Windows 10,Delivered,Low,27.5,51.7,False,,R&D - Tokyo,manager_r&d@company.com,EMP_0804,02/12/2025,True,North America,CC-9625,Level 3,Hybrid,75,,Novice,High,1,11,,Phishing,Technology,English,JST,False,False,True,False
EMP_1114,emp_1114@company.com,User1114,LastName114,R&D,Employee,Sydney,Q1 2024 - System Maintenance,System Maintenance,08/20/2024 17:14,True,True,False,True,False,False,False,47.0,,192.168.51.43,Chrome,macOS,Delivered,Medium,15.3,44.6,True,03/18/2022,R&D - Sydney,manager_r&d@company.com,EMP_1114,02/16/2022,True,North America,CC-6580,Level 3,On-site,63,85.0,Intermediate,Medium,3,5,02/08/2024,Phishing,Financial,French,PST,False,True,True,True
EMP_1068,emp_1068@company.com,User1068,LastName068,Operations,Director,Frankfurt,Q2 2025 - IT Support,IT Support,01/04/2025 17:14,True,True,False,False,False,False,False,3.0,,192.168.44.7,Chrome,Windows 10,Delivered,Low,13.6,71.1,True,04/06/2021,Operations - Frankfurt,manager_operations@company.com,EMP_1068,03/07/2021,True,Europe,CC-7468,Level 3,Hybrid,91,79.0,Novice,Medium,4,8,12/26/2024,Phishing,Technology,Spanish,EST,True,False,True,True
EMP_0049,emp_0049@company.com,User0049,LastName049,R&D,Employee,New York,Q2 2025 - Account Verification,Account Verification,03/24/2025 17:14,True,False,False,False,False,False,True,,494.0,192.168.78.248,Edge,Windows 10,Delivered,Medium,7.4,89.0,True,12/18/2022,R&D - New York,manager_r&d@company.com,EMP_0049,11/18/2022,True,Europe,CC-7238,Level 2,Remote,60,76.0,Intermediate,Low,2,6,,Vishing,Technology,German,GMT,True,False,False,True
EMP_1081,emp_1081@company.com,User1081,LastName081,Marketing,Employee,London,Q1 2024 - Security Alert,Security Alert,10/03/2024 17:14,True,False,False,False,False,False,False,,,192.168.230.237,Chrome,Windows 10,Delivered,Medium,7.4,76.3,True,12/04/2021,Marketing - London,manager_marketing@company.com,EMP_1081,11/04/2021,True,North America,CC-6303,Level 3,On-site,65,88.0,Novice,Low,4,2,,Vishing,Generic,English,GMT,False,True,True,False
EMP_0788,emp_0788@company.com,User0788,LastName788,Legal,Manager,London,Q1 2025 - Account Verification,Account Verification,05/27/2025 17:14,False,False,False,False,False,False,False,,,192.168.168.173,Chrome,Windows 10,Delivered,Low,13.4,58.5,True,08/11/2020,Legal - London,manager_legal@company.com,EMP_0788,07/12/2020,True,North America,CC-2992,Level 3,Hybrid,64,87.0,Intermediate,Medium,0,4,,Phishing,Generic,French,GMT,True,True,True,True
EMP_0271,emp_0271@company.com,User0271,LastName271,Legal,Admin,Frankfurt,Q2 2025 - VPN Access,VPN Access,01/06/2025 17:14,True,False,False,False,False,False,False,,,192.168.59.96,Firefox,Windows 11,Delivered,Medium,23.0,62.0,True,04/26/2025,Legal - Frankfurt,manager_legal@company.com,EMP_0271,03/27/2025,True,Europe,CC-8194,Level 2,On-site,88,87.0,Intermediate,High,6,3,,Phishing,Financial,English,GMT,False,False,True,False
EMP_0547,emp_0547@company.com,User0547,LastName547,Legal,Employee,Frankfurt,Q3 2024 - Document Share,Document Share,09/22/2024 17:14,True,False,False,False,False,False,True,,395.0,192.168.148.125,Chrome,Windows 10,Delivered,Medium,16.3,67.7,False,,Legal - Frankfurt,manager_legal@company.com,EMP_0547,02/02/2021,True,North America,CC-6816,Level 3,Hybrid,64,,Intermediate,Medium,1,7,,Phishing,Healthcare,English,PST,False,False,False,True
EMP_0809,emp_0809@company.com,User0809,LastName809,Legal,Employee,San Francisco,Q2 2025 - Package Delivery,Package Delivery,03/11/2025 17:14,False,True,False,True,False,False,False,17.0,,192.168.67.253,Chrome,Windows 10,Delivered,Low,20.7,61.1,False,,Legal - San Francisco,manager_legal@company.com,EMP_0809,08/29/2024,True,Europe,CC-4209,Level 3,Remote,65,,Advanced,High,4,11,08/05/2024,Phishing,Generic,English,JST,False,False,True,True
EMP_0688,emp_0688@company.com,User0688,LastName688,Marketing,Manager,London,Q1 2025 - Security Alert,Security Alert,05/08/2025 17:14,True,False,False,False,False,False,False,,,192.168.241.99,Firefox,Linux,Delivered,Low,20.3,75.9,True,05/09/2023,Marketing - London,manager_marketing@company.com,EMP_0688,04/09/2023,True,Europe,CC-3581,Level 3,On-site,62,72.0,Intermediate,High,3,9,,Vishing,Healthcare,German,EST,True,False,True,False
EMP_1081,emp_1081@company.com,User1081,LastName081,Marketing,Employee,London,Q2 2024 - Financial Request,Financial Request,08/11/2024 17:14,True,False,False,False,False,False,True,,155.0,192.168.67.200,Chrome,Windows 10,Delivered,Medium,17.4,91.7,True,12/04/2021,Marketing - London,manager_marketing@company.com,EMP_1081,11/04/2021,True,Europe,CC-4880,Level 3,Remote,93,87.0,Novice,Medium,3,8,,Phishing,Generic,French,EST,False,False,True,False
EMP_0369,emp_0369@company.com,User0369,LastName369,Operations,Manager,Tokyo,Q2 2025 - Software Update,Software Update,06/16/2025 17:14,True,False,False,False,False,False,False,,,192.168.222.243,Chrome,Windows 11,Delivered,Medium,8.2,87.2,True,02/24/2021,Operations - Tokyo,manager_operations@company.com,EMP_0369,01/25/2021,True,Europe,CC-9278,Level 1,Hybrid,94,71.0,Intermediate,Low,5,14,,Phishing,Healthcare,French,JST,False,False,True,True
EMP_0493,emp_0493@company.com,User0493,LastName493,Sales,Manager,Tokyo,Q4 2024 - IT Support,IT Support,11/07/2024 17:14,True,False,False,False,False,False,True,,309.0,192.168.137.64,Chrome,Windows 11,Delivered,Low,14.2,89.5,True,08/30/2020,Sales - Tokyo,manager_sales@company.com,EMP_0493,07/31/2020,True,Europe,CC-8170,Level 1,On-site,92,75.0,Intermediate,Medium,2,12,,Phishing,Healthcare,German,PST,True,True,False,False
EMP_0447,emp_0447@company.com,User0447,LastName447,Finance,Employee,New York,Q2 2024 - Security Alert,Security Alert,10/09/2024 17:14,False,False,False,False,False,False,False,,,192.168.236.253,Chrome,Windows 10,Delivered,Medium,14.7,66.4,True,10/09/2022,Finance - New York,manager_finance@company.com,EMP_0447,09/09/2022,True,Europe,CC-5284,Level 3,Hybrid,71,73.0,Intermediate,Medium,4,2,,Phishing,Technology,English,PST,False,False,False,False
EMP_0255,emp_0255@company.com,User0255,LastName255,R&D,Manager,London,Q2 2025 - Meeting Invitation,Meeting Invitation,02/23/2025 17:14,True,True,False,False,False,False,True,73.0,377.0,192.168.64.230,Chrome,macOS,Delivered,Low,11.8,59.8,True,07/23/2022,R&D - London,manager_r&d@company.com,EMP_0255,06/23/2022,True,Europe,CC-1604,Level 1,On-site,89,95.0,Intermediate,Medium,4,7,12/06/2024,Vishing,Generic,English,PST,False,True,True,False
EMP_0432,emp_0432@company.com,User0432,LastName432,Operations,Manager,Tokyo,Q4 2024 - System Maintenance,System Maintenance,12/15/2024 17:14,True,False,False,False,False,False,False,,,192.168.221.133,Edge,Windows 11,Delivered,High,10.3,97.3,True,02/13/2025,Operations - Tokyo,manager_operations@company.com,EMP_0432,01/14/2025,True,Europe,CC-4885,Level 2,Remote,68,90.0,Advanced,Medium,0,8,,Phishing,Technology,English,EST,False,False,True,False
EMP_0506,emp_0506@company.com,User0506,LastName506,HR,Employee,San Francisco,Q1 2024 - IT Support,IT Support,09/22/2024 17:14,True,False,False,False,False,False,False,,,192.168.117.116,Safari,Windows 10,Delivered,Medium,17.1,94.0,True,10/12/2021,HR - San Francisco,manager_hr@company.com,EMP_0506,09/12/2021,True,Asia-Pacific,CC-6335,Level 2,Remote,85,82.0,Novice,Medium,7,11,,Phishing,Technology,English,JST,True,False,True,True
EMP_0761,emp_0761@company.com,User0761,LastName761,Marketing,Employee,Tokyo,Q1 2025 - Account Verification,Account Verification,03/26/2025 17:14,False,False,False,False,False,False,False,,,192.168.101.176,Firefox,macOS,Delivered,Medium,4.3,66.3,True,03/03/2020,Marketing - Tokyo,manager_marketing@company.com,EMP_0761,02/02/2020,True,Europe,CC-9867,Level 1,Remote,94,85.0,Intermediate,Low,5,5,,Phishing,Generic,English,GMT,False,True,True,False
EMP_0357,emp_0357@company.com,User0357,LastName357,R&D,Employee,San Francisco,Q4 2024 - Password Expiration,Password Expiration,12/30/2024 17:14,True,False,False,False,False,False,True,,23.0,192.168.103.47,Chrome,Windows 10,Delivered,Low,16.6,87.1,True,11/23/2020,R&D - San Francisco,manager_r&d@company.com,EMP_0357,10/24/2020,True,Asia-Pacific,CC-6362,Level 1,On-site,73,86.0,Novice,Medium,1,5,,Phishing,Financial,German,GMT,True,True,False,True
EMP_0211,emp_0211@company.com,User0211,LastName211,Finance,Employee,Sydney,Q2 2024 - Document Share,Document Share,11/02/2024 17:14,True,False,False,False,False,False,True,,103.0,192.168.171.81,Safari,Windows 10,Delivered,Medium,23.3,68.7,False,,Finance - Sydney,manager_finance@company.com,EMP_0211,11/24/2022,True,Europe,CC-8281,Level 2,Remote,74,,Intermediate,High,7,11,,Phishing,Generic,English,PST,True,False,True,False
EMP_0626,emp_0626@company.com,User0626,LastName626,R&D,Manager,Chicago,Q4 2024 - Meeting Invitation,Meeting Invitation,09/02/2024 17:14,False,False,False,False,False,False,True,,1.0,192.168.44.98,Firefox,Windows 10,Bounced,Low,23.9,82.3,True,08/08/2020,R&D - Chicago,manager_r&d@company.com,EMP_0626,07/09/2020,True,North America,CC-8456,Level 2,On-site,89,87.0,Novice,High,2,11,,Phishing,Financial,English,PST,False,False,True,True
EMP_0675,emp_0675@company.com,User0675,LastName675,Sales,Employee,Frankfurt,Q2 2025 - IT Support,IT Support,05/09/2025 17:14,True,True,False,False,False,True,True,10.0,260.0,192.168.162.229,Chrome,Windows 10,Delivered,Low,21.6,59.9,True,07/06/2024,Sales - Frankfurt,manager_sales@company.com,EMP_0675,06/06/2024,True,Asia-Pacific,CC-5492,Level 3,Hybrid,83,90.0,Intermediate,High,2,13,11/05/2024,Vishing,Technology,English,PST,True,False,True,False
EMP_0948,emp_0948@company.com,User0948,LastName948,Operations,Director,London,Q3 2024 - HR Communication,HR Communication,08/17/2024 17:14,True,False,False,False,False,False,True,,175.0,192.168.207.128,Chrome,Windows 10,Delivered,High,0.0,100.0,True,12/24/2021,Operations - London,manager_operations@company.com,EMP_0948,11/24/2021,True,Europe,CC-7170,Level 2,On-site,88,76.0,Novice,Low,0,4,,Vishing,Generic,English,GMT,False,True,True,True
EMP_0965,emp_0965@company.com,User0965,LastName965,Legal,Manager,Sydney,Q4 2024 - Meeting Invitation,Meeting Invitation,12/26/2024 17:14,True,False,False,False,False,False,True,,217.0,192.168.166.130,Edge,macOS,Delivered,Medium,17.9,90.7,True,02/28/2023,Legal - Sydney,manager_legal@company.com,EMP_0965,01/29/2023,True,Europe,CC-2946,Level 1,Hybrid,76,92.0,Intermediate,Medium,4,11,,Vishing,Financial,English,PST,False,False,True,True
EMP_0455,emp_0455@company.com,User0455,LastName455,Legal,Manager,New York,Q2 2024 - Account Suspended,Account Suspended,10/14/2024 17:14,False,False,False,False,False,False,False,,,192.168.226.51,Edge,Windows 10,Delivered,High,4.2,74.3,True,08/10/2021,Legal - New York,manager_legal@company.com,EMP_0455,07/11/2021,True,Europe,CC-8610,Level 2,On-site,78,72.0,Intermediate,Low,6,10,,Phishing,Generic,German,EST,False,False,False,False
EMP_0722,emp_0722@company.com,User0722,LastName722,R&D,Manager,San Francisco,Q3 2024 - VPN Access,VPN Access,07/14/2024 17:14,False,False,False,False,False,False,False,,,192.168.29.163,Firefox,Windows 10,Delivered,Medium,4.9,94.7,True,01/25/2025,R&D - San Francisco,manager_r&d@company.com,EMP_0722,12/26/2024,True,North America,CC-9490,Level 2,Remote,91,88.0,Intermediate,Low,7,8,,Smishing,Healthcare,Spanish,PST,False,False,False,True
EMP_0858,emp_0858@company.com,User0858,LastName858,IT,Manager,Chicago,Q4 2025 - IT Support,IT Support,04/22/2025 17:14,True,False,False,False,False,False,False,,,192.168.17.127,Firefox,Windows 10,Delivered,Low,14.4,79.1,False,,IT - Chicago,manager_it@company.com,EMP_0858,05/20/2021,True,Asia-Pacific,CC-6835,Level 2,Hybrid,81,,Advanced,Medium,5,6,,Phishing,Healthcare,English,GMT,True,False,True,False
